numb,image_numb,spc_x,spc_y,spc_z,sz_x,sz_y,sz_z
1,001,0.693359375,0.693359375,1.0,32,27,26
2,003,0.9375,0.9375,1.2456597089767456,22,27,16
3,004,0.828125,0.828125,1.2454710006713867,26,29,21
4,005,0.654296875,0.654296875,1.0,54,52,32
5,006,0.9765620231628418,0.9765620231628418,0.625,34,33,46
6,009,0.8203120231628418,0.8203120231628418,1.25,79,82,66
7,010,0.5976560115814209,0.5976560115814209,1.25,60,66,38
8,014,0.7421879768371582,0.7421879768371582,0.625,77,64,76
9,015,0.8203120231628418,0.8203120231628418,1.25,20,25,17
10,016,0.7773439884185791,0.7773439884185791,1.2445175647735596,43,42,27
11,018,0.859375,0.859375,1.25,58,48,19
12,020,0.677734375,0.677734375,1.0,38,47,19
13,022,0.8417969942092896,0.8417969942092896,0.625,106,86,75
14,023,0.8203120231628418,0.8203120231628418,0.625,40,49,50
15,025,0.8007810115814209,0.8007810115814209,0.9973404407501221,38,36,25
16,026,0.78125,0.78125,1.2444933652877808,59,74,37
17,027,0.859375,0.859375,1.2452651262283325,54,74,34
18,028,0.9101560115814209,0.9101560115814209,1.2450199127197266,85,107,84
19,029,0.8457030057907104,0.8457030057907104,1.2450979948043823,34,32,23
20,031,0.703125,0.703125,1.245888113975525,95,91,76
21,033,0.8203120231628418,0.8203120231628418,1.245192289352417,64,90,48
22,034,0.8984379768371582,0.8984379768371582,1.2457770109176636,48,52,33
23,036,0.78125,0.78125,1.2453874349594116,79,62,20
24,037,0.78125,0.78125,2.5,26,26,12
25,038,0.78125,0.78125,2.5,42,77,15
26,041,0.8203120231628418,0.8203120231628418,1.2447916269302368,82,72,42
27,042,0.7324219942092896,0.7324219942092896,2.5,86,55,15
28,043,0.7695310115814209,0.7695310115814209,2.5,46,35,14
29,044,0.859375,0.859375,1.2455673217773438,59,49,41
30,045,0.859375,0.859375,1.245039701461792,64,62,22
31,046,0.78125,0.78125,1.2444690465927124,56,41,34
32,047,0.78515625,0.78515625,1.0,41,36,27
33,048,0.814453125,0.814453125,1.0,33,30,20
34,049,0.703125,0.703125,1.25,45,43,20
35,051,0.78125,0.78125,2.5,43,58,18
36,053,0.9375,0.9375,1.245039701461792,105,120,85
37,054,0.7578120231628418,0.7578120231628418,1.244813323020935,52,45,27
38,055,0.8203120231628418,0.8203120231628418,1.2448346614837646,83,112,35
39,057,0.78125,0.78125,2.5,38,40,13
40,058,0.859375,0.859375,1.244813323020935,21,24,16
41,059,0.8203120231628418,0.8203120231628418,1.2442660331726074,29,29,17
42,061,0.859375,0.859375,1.2440757751464844,29,26,17
43,062,0.8203120231628418,0.8203120231628418,1.2448559999465942,36,37,23
44,064,0.703125,0.703125,1.2449597120285034,82,111,61
45,065,0.7265620231628418,0.7265620231628418,2.5,82,87,25
46,066,0.8867189884185791,0.8867189884185791,1.244813323020935,121,42,31
47,069,0.7871090173721313,0.7871090173721313,1.2448346614837646,23,26,21
48,070,0.7617189884185791,0.7617189884185791,1.2453007698059082,31,33,20
49,071,0.703125,0.703125,1.245674729347229,35,31,22
50,073,0.7890620231628418,0.7890620231628418,0.625,55,72,52
51,074,0.625,0.625,1.0,86,146,83
52,075,0.798828125,0.798828125,1.0,44,53,41
53,078,0.6035159826278687,0.6035159826278687,2.4782607555389404,75,65,15
54,079,0.9296879768371582,0.9296879768371582,1.2450199127197266,28,34,26
55,080,0.6171879768371582,0.6171879768371582,0.625,35,39,23
56,081,0.8808590173721313,0.8808590173721313,1.244979977607727,31,37,20
57,083,0.78125,0.78125,1.2451171875,30,27,17
58,084,0.78125,0.78125,1.244813323020935,86,63,42
59,086,0.78125,0.78125,1.2453182935714722,87,78,47
60,092,0.9492189884185791,0.9492189884185791,1.2448979616165161,35,29,21
61,093,0.78125,0.78125,1.2445175647735596,34,37,20
62,095,0.7714840173721313,0.7714840173721313,1.2445887327194214,40,68,19
63,096,0.7832030057907104,0.7832030057907104,1.2450199127197266,22,21,19
