numb,image_numb,spc_x,spc_y,spc_y,sz_x,sz_y,sz_z
4,5,0.654296875,0.654296875,1.0,54,52,32
5,6,0.9765620231628418,0.9765620231628418,0.625,34,33,46
7,10,0.5976560115814209,0.5976560115814209,1.25,60,66,38
8,14,0.7421879768371582,0.7421879768371582,0.625,77,64,76
10,16,0.7773439884185791,0.7773439884185791,1.2445175647735596,43,42,27
11,18,0.859375,0.859375,1.25,58,48,19
12,20,0.677734375,0.677734375,1.0,38,47,19
14,23,0.8203120231628418,0.8203120231628418,0.625,40,49,50
15,25,0.8007810115814209,0.8007810115814209,0.997340440750122,38,36,25
16,26,0.78125,0.78125,1.2444933652877808,59,74,37
17,27,0.859375,0.859375,1.2452651262283323,54,74,34
22,34,0.8984379768371582,0.8984379768371582,1.2457770109176636,48,52,33
23,36,0.78125,0.78125,1.2453874349594116,79,62,20
25,38,0.78125,0.78125,2.5,42,77,15
27,42,0.7324219942092896,0.7324219942092896,2.5,86,55,15
28,43,0.7695310115814209,0.7695310115814209,2.5,46,35,14
29,44,0.859375,0.859375,1.2455673217773438,59,49,41
30,45,0.859375,0.859375,1.245039701461792,64,62,22
31,46,0.78125,0.78125,1.2444690465927124,56,41,34
32,47,0.78515625,0.78515625,1.0,41,36,27
34,49,0.703125,0.703125,1.25,45,43,20
35,51,0.78125,0.78125,2.5,43,58,18
37,54,0.7578120231628418,0.7578120231628418,1.244813323020935,52,45,27
39,57,0.78125,0.78125,2.5,38,40,13
43,62,0.8203120231628418,0.8203120231628418,1.2448559999465942,36,37,23
45,65,0.7265620231628418,0.7265620231628418,2.5,82,87,25
50,73,0.7890620231628418,0.7890620231628418,0.625,55,72,52
52,75,0.798828125,0.798828125,1.0,44,53,41
53,78,0.6035159826278687,0.6035159826278687,2.4782607555389404,75,65,15
54,79,0.9296879768371582,0.9296879768371582,1.2450199127197266,28,34,26
56,81,0.8808590173721313,0.8808590173721313,1.244979977607727,31,37,20
60,92,0.9492189884185792,0.9492189884185792,1.244897961616516,35,29,21
62,95,0.7714840173721313,0.7714840173721313,1.2445887327194214,40,68,19
